ON,1457376785,Free
OFF-ON,1457376841,Free
ON,1457376900,Free
ON,1457424480,Free
OFF,1457425083,NO-INFO
ON,1457425090,Free
OFF,1457425129,NO-INFO
ON,1457425260,Free
OFF,1457425486,NO-INFO
ON,1457425620,Free
OFF,1457425842,NO-INFO
ON,1457425981,Free
OFF,1457425993,NO-INFO
ON,1457426022,Free
ON,1457553755,Free
OFF,1457553802,NO-INFO
ON,1457553846,Free
OFF-ON,1457553882,Free
ON,1457554002,Free
OFF-ON,1457554062,Free
ON,1457554139,Free
OFF,1457554401,NO-INFO
ON,1457554405,Free
OFF,1457554615,NO-INFO
ON,1457554620,Free
OFF,1457554643,NO-INFO
ON,1457554743,Free
OFF-ON,1457554777,Free
ON,1457554811,Free
ON,1457631926,Free
OFF,1457631963,NO-INFO
ON,1457632059,Free
OFF-ON,1457632108,Free
ON,1457632220,Free
OFF,1457632458,NO-INFO
ON,1457632486,Free
OFF,1457632707,NO-INFO
ON,1457632893,Free
OFF-ON,1457633126,Free
ON,1458070162,Free
OFF,1458070199,NO-INFO
ON,1458070232,Free
OFF-ON,1458070297,Free
ON,1458070347,Free
OFF-ON,1458070537,Free
ON,1458070608,Free
OFF,1458070799,NO-INFO
ON,1458070893,Free
OFF,1458071003,NO-INFO
ON,1458673883,Free
OFF,1458673937,NO-INFO
ON,1458674068,Free
OFF-ON,1458674318,Free
ON,1458674345,Free
OFF-ON,1458674553,Free
ON,1458674662,Free
ON,1458841050,Free
OFF,1458841090,NO-INFO
ON,1458841176,Free
OFF-ON,1458841238,Free
ON,1458841356,Free
OFF,1458841580,NO-INFO
ON,1458841593,Free
OFF,1458841814,NO-INFO
ON,1458842371,Free
OFF-ON,1458842672,Free
ON,1458842735,Free
ON,1459262912,Free
OFF,1459262957,NO-INFO
ON,1459262984,Free
OFF-ON,1459263047,Free
ON,1459263124,Free
OFF,1459263298,NO-INFO
ON,1459263628,Free
OFF-ON,1459263647,Free
ON,1459263759,Free
OFF-ON,1459263824,Free
ON,1459263942,Free
OFF-ON,1459264211,NO-INFO
ON,1459264217,Free
ON,1460052008,Free
OFF,1460052035,NO-INFO
ON,1460052249,Free
OFF-ON,1460052490,Free
ON,1460052555,Free
OFF,1460052728,NO-INFO
ON,1460052815,Free
OFF-ON,1460052858,Free
ON,1460052913,Free
OFF-ON,1460053030,Free
ON,1460053092,Free
ON,1460142764,Free
OFF,1460142795,NO-INFO
ON,1460142831,Free
OFF-ON,1460143010,Free
ON,1460143070,Free
OFF-ON,1460143132,Free
ON,1460143189,Free
OFF,1460143409,NO-INFO
ON,1460143490,Free
OFF,1460143713,NO-INFO
ON,1460143794,Free
ON,1460396688,Free
OFF,1460396720,NO-INFO
ON,1460396830,Free
OFF-BACK,1460397055,NO-INFO
ON,1460397176,Free
OFF-ON,1460397297,Free
ON,1460397538,Free
OFF-ON,1460397658,Free
ON,1460397715,Free
ON,1460474395,Free
OFF,1460474406,NO-INFO
ON,1460474653,Free
ON,1460571178,Free
OFF,1460571216,NO-INFO
ON,1460571315,Free
OFF-ON,1460571323,Free
ON,1460571484,Free
OFF,1460571727,NO-INFO
ON,1460571756,Free
OFF,1460571901,NO-INFO
ON,1460571907,Free
OFF,1460571938,NO-INFO
ON,1460572079,Free
OFF,1460572115,NO-INFO
ON,1460572139,Free
OFF-ON,1460572199,Free
ON,1460572319,Free
ON,1460658384,Free
OFF,1460658423,NO-INFO
ON,1460658484,Free
OFF-ON,1460658572,Free
ON,1460658644,Free
OFF,1460658914,NO-INFO
ON,1460659000,Free
OFF-ON,1460659168,Free
ON,1460659286,Free
OFF,1460659346,NO-INFO
ON,1460659382,Free
OFF-ON,1460659407,Free
ON,1460659465,Free
OFF,1460659630,NO-INFO
ON,1460659706,Free
ON,1461089591,Free
OFF-ON,1461089622,Free
ON,1461089845,Free
OFF-ON,1461090013,Free
ON,1461090086,Free
OFF,1461090315,NO-INFO
ON,1461090383,Free
OFF,1461090440,NO-INFO
ON,1461090465,Free
OFF-ON,1461090853,Free
ON,1461264250,Free
OFF-ON,1461264280,Free
ON,1461264374,Free
OFF-ON,1461264431,Free
ON,1461264617,Free
OFF-ON,1461264671,Free
ON,1461264730,Free
OFF-ON,1461264793,Free
ON,1461264858,Free
OFF-ON,1461265031,Free
ON,1461265150,Free
OFF-ON,1461265211,Free
ON,1461265270,Free
OFF-ON,1461265512,Free
ON,1461265554,Free
OFF-ON,1461265571,Free
ON,1461607833,Free
OFF-ON,1461607840,Free
ON,1461607887,Free
OFF-ON,1461607903,Free
ON,1461607960,Free
OFF-ON,1461608021,Free
ON,1461608199,Free
OFF,1461608704,NO-INFO
ON,1461608765,Free
OFF,1461608818,NO-INFO
ON,1461608856,Free
ON,1461699543,Free
OFF,1461699579,NO-INFO
ON,1461699609,Free
OFF-ON,1461699740,Free
ON,1461699783,Free
OFF-ON,1461700039,Free
ON,1461700088,Free
OFF,1461700282,NO-INFO
ON,1461700327,Free
OFF-ON,1461700328,Free
ON,1461700386,Free
OFF,1461700514,NO-INFO
ON,1461700529,Free
ON,1461785557,Free
OFF,1461785590,NO-INFO
ON,1461785646,Free
OFF-ON,1461785755,Free
ON,1461785814,Free
OFF-ON,1461786349,Free
ON,1461786395,Free
OFF-ON,1461786589,Free
ON,1461786702,Free
OFF,1461786727,NO-INFO
ON,1461786753,Free
ON,1461956422,Free
OFF,1461956457,NO-INFO
ON,1461956487,Free
OFF-ON,1461956614,Free
ON,1461956636,Free
OFF-ON,1461956854,Free
ON,1461956929,Free
OFF-ON,1461957143,Free
ON,1461957209,Free
OFF-ON,1461957384,Free
ON,1461957442,Free
ON,1462201432,NO-INFO
OFF,1462201451,NO-INFO
ON,1462201501,Free
OFF,1462201525,NO-INFO
ON,1462201586,Free
OFF-ON,1462201679,Free
ON-OFF,1462201746,NO-INFO
OFF,1462201949,NO-INFO
ON,1462202036,Free
OFF,1462202254,NO-INFO
ON,1462202298,Free
OFF,1462202590,NO-INFO
ON,1462202636,Free
